0,92,67
1,87,63
2,89,67
3,85,67
4,84,65
5,85,65
6,84,69
7,84,69
8,84,69
9,84,68
10,85,67
11,83,67
12,84,67
13,83,67
14,85,66
15,86,66
16,86,64
17,89,65
18,87,66
19,88,64
20,88,61
21,88,63
22,90,62
23,92,64
24,90,63
25,92,58
26,92,60
27,92,61
28,91,62
29,92,62
30,95,63
31,94,60
32,94,61
33,95,59
34,96,62
35,94,62
36,95,63
37,96,63
38,97,61
39,95,60
40,94,62
41,91,64
42,92,59
43,87,63
44,88,61
45,83,59
46,79,61
47,76,65
48,74,64
49,75,67
50,75,67
51,75,66
52,75,65
53,65,70
54,67,73
55,67,78
56,64,74
57,64,78
58,65,76
59,64,80
60,65,77
61,63,76
62,62,77
63,60,76
64,61,76
65,64,78
66,65,81
67,67,78
68,66,75
69,68,78
70,68,78
71,68,73
72,67,75
73,67,73
74,68,73
75,69,68
76,69,68
77,71,64
78,69,62
79,70,62
80,72,59
81,75,61
82,77,60
83,79,60
84,82,60
85,84,57
86,90,58
87,90,57
88,92,55
89,94,53
90,96,54
91,97,54
92,101,54
93,103,53
94,105,52
95,106,53
96,107,51
97,108,51
98,109,54
99,107,54
100,102,55
101,102,56
102,99,56
103,100,60
104,99,59
105,91,60
106,88,64
107,89,60
108,85,60
109,84,60
110,84,63
111,78,60
112,78,56
113,78,59
114,77,60
115,79,57
116,75,58
117,75,58
118,76,59
119,76,60
120,76,57
121,75,58
122,74,60
123,75,59
124,76,57
125,76,59
126,77,62
127,76,59
128,78,58
129,76,59
130,75,58
131,75,55
132,75,56
133,75,59
134,74,59
135,74,59
136,75,56
137,76,58
138,77,57
139,76,56
140,78,56
141,80,59
142,80,56
143,80,54
144,80,52
145,81,57
146,82,60
147,80,54
148,82,57
149,81,55
150,80,54
151,81,57
152,82,56
153,80,54
154,81,56
155,82,56
156,83,57
157,82,57
158,81,55
159,85,59
160,83,57
161,82,55
162,82,58
163,83,58
164,84,56
165,83,58
166,83,60
167,83,58
168,84,58
169,85,59
170,82,62
171,83,61
172,84,60
173,83,61
174,83,60
175,83,59
176,84,62
177,85,63
178,85,63
179,87,64
180,88,63
181,87,64
182,88,65
183,89,63
184,88,63
185,88,64
186,89,64
187,91,63
188,92,63
189,89,63
190,94,65
191,97,69
192,98,72
193,100,74
194,99,76
195,103,75
196,101,74
197,101,75
198,103,74
199,105,73
200,104,74
201,104,74
202,106,73
203,104,71
204,102,71
205,103,71
206,103,70
207,105,70
208,104,71
209,104,70
210,103,72
211,101,73
212,104,73
213,102,67
214,98,71
215,94,64
216,87,62
217,85,64
218,79,64
219,74,60
220,68,60
221,66,60
222,66,59
223,62,59
224,61,59
225,59,61
226,59,60
227,60,64
228,57,61
229,62,61
230,65,64
231,64,67
232,69,65
233,70,64
234,70,67
235,71,69
236,69,67
237,69,69
238,72,70
239,82,67
240,87,67
241,87,69
242,92,70
243,90,71
244,90,72
245,92,71
246,94,69
247,95,71
248,94,67
249,91,66
250,90,67
251,90,68
252,91,65
253,87,66
254,87,67
255,87,66
256,85,62
